Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"The american economic review","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=109081","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Economía política ; Revistas","Disponible en formato impreso: 1911-2014 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The American Historical Association's guide to historical literature","si","N/A","http://200.52.255.191/F/?func=find-b&request=000309595&find_code=SYS&adjacent=Y&x=32&y=8&filter_code_1=WLN&filter_request_1=&filter_code_2=WYR&filter_request_2=&filter_code_4=WFT&filter_request_4=&filter_code_3=WYR&filter_request_3=","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Historia ; Bibliografía ; Guías","Bibliografía selectiva y anotada de “los mejores y más utilizados libros y artículos disponibles en todos los campos” de la historia. Dividida en 48 secciones, cada una de las cuales incluye un ensayo introductorio firmado, seguido de una guía temática del contenido y la bibliografía correspondiente.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The American Historical Review","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=amerhistrevi","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2010-00-00","N/A","N/A","N/A","N/A","Estados Unidos ; Historia ; Revistas","The American Historical Review (AHR) es la publicación oficial de la American Historical Association (AHA).  Disponible en formato impreso: 1905-2012 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The American journal of sociology","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=amerjsoci","N/A","N/A","Sólo comunidad Colmex","N/A","JSTOR","N/A","N/A","N/A","N/A","N/A","Sociología ; Revistas","Disponible en formato impreso: 1895-2011 (con algunos faltantes). Established in 1895 as the first U.S. scholarly journal in its field, American Journal of Sociology remains a leading voice for analysis and research in the social sciences. The journal presents pathbreaking work from all areas of sociology, with an emphasis on theory building and innovative methods. AJS strives to speak to the general sociological reader and is open to sociologically informed contributions from anthropologists, statisticians, economists, educators, historians, and political scientists. AJS prizes research that offers new ways of understanding the social.
Impreso 1895 a la fecha, a partir de 2012, Vol. 118 en formato digital en Electronic Journal Service. En JStor de 1895-2013","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Americas","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=americas","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2012-10-00","N/A","N/A","N/A","N/A","América Latina ; Estudios latinoamericanos ; Revistas","Disponible en formato impreso: 1944-2005 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Andrew W. Mellon Foundation","no","N/A","http://www.mellon.org","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CEH  , CEI  , CES","Artes  , Filosofía  , Historia  , Literatura  , Relaciones Internacionales  , Sociología","N/A","N/A","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The ARTFL Project","no","N/A","http://machaut.uchicago.edu/french-english-dictionary","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Inglés  , Francés","CELL","Lingüística","N/A","Diccionarios ; Francés ; Inglés","Permite buscar términos de inglés-francés y francés-ingles. Es posible conjugar los verbos en francés.","N/A","2015-02-24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Association of Asian Studies","no","N/A","https://www.asian-studies.org/about/index.htm","N/A","Sitio Web","Abierto","N/A","Otros","2014-00-00","Inglés","CEAA","Noticias  , Relaciones Internacionales","N/A","Asociaciones ; Asia","Página de la asociación conformada desde el año de 1941. Contiene vínculos a publicaciones (Tablas de contenido), información sobre las conferencias regionales y anuales, y otros recursos como becas, premios y programas. Incluye las tablas de contenidos de los últimos números de The Journal of Asian Studies.","N/A","2015-05-18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Athenian Constitution","no","N/A","http://www.fordham.edu/halsall/ancient/aristotle-athcon.txt","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CEH  , CELL","Filosofía  , Historia  , Literatura","N/A","Atenas ; Historia constitucional","Texto completo en formato html de la Constitución de Atenas, escrita por Aristóteles. La traducción es de Sir Frederic G. Kenyon. El texto se localiza en la página de la Fordham University (http://www.fordham.edu/).","N/A","2014-11-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Baghavad Ghita","no","N/A","http://www.bartleby.com/45/4/","N/A","Libro electrónico","Abierto","N/A","Otros","2024--00--0","Inglés","CEAA","Filosofía  , Literatura","N/A","India ; Mahabharata ; Inglés ; Bhagavadgita","Texto completo del Baghavad Ghita, uno de los textos incluidos en el Mahabharata. La ficha bibliográfica correspondiente la proporciona Bartleby.com, página en donde se hospeda el texto: The Bhagavad-Gita, Translated by Sir Edwin Arnold. Vol. XLV, Part 4. The Harvard Classics. New York: P.F. Collier & Son, 1909–14; Bartleby.com, 2001. www.bartleby.com/45/4/.Published May 4, 2001 by Bartleby.com; © 2001 Copyright Bartleby.com, Inc.","N/A","2014-11-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Brady Education Foundation","no","N/A","http://bradyeducationfoundation.org/home.html","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CES","Sociología","N/A","Pobreza ; Niños con economía precaria","|The Brady Education Foundation seeks to close the achievement gap for children at risk for poor school outcomes due to environmental factors associated with living in poverty. The Foundation pursues its mission by promoting collaboration between researchers and educators via the funding of research and program evaluations in education|","N/A","2014-11-13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Brown University Women Writers Project","no","N/A","http://www.wwp.brown.edu/","N/A","N/A","Falta determinar","N/A","Otros","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Business History Review","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=busihistrevi","N/A","N/A","Abierto","N/A","Otros","2012-00-00","N/A","N/A","N/A","N/A","Historia económica ; Empresas comerciales ; Revistas","Disponible en formato impreso: 1991-1997, 1999-2013","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Carl Beck Papers in Russian and East European Studies","no","N/A","http://carlbeckpapers.pitt.edu/ojs/index.php/cbp/index","N/A","Publicación periódica","Abierto","N/A","Otros","2016-00-00","Inglés","CEI","Ciencia Política  , Relaciones Internacionales","N/A","Europa Oriental, Unión Soviética","|Established in 1984, The Carl Beck Papers publishs original research in the humanities and social sciences focused on the region of Eastern Europe and Eurasia. The Papers’ monograph (40-90 pages) format, offers a unique opportunity for scholars to publish works that are larger than the average academic journal article but shorter than a book manuscript. A rigorous double-blind review process ensures that the Papers maintain a high level of quality and continue to make an important contribution to the advancement of scholarly inquiry in our field.

In 2011, after over 30 years as a traditional print journal, the Carl Back Papers transitioned to a digital, open source format. The move to the new format offers new capabilities in terms of the structure and content of articles and provides near-seamless linkages to a vast array of web-based information. Furthermore, a new automated submission and review process provides a faster turn-around times and more effective communication between authors, reviewers and the editorial staff. 

As of December 31, 2015, The Carl Beck Papers will no longer accept submissions for publication. We thank everyone who has supported the journal over its 34 year history.|","N/A","2016-02-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Centre of South Asian Studies","no","N/A","http://www.s-asian.cam.ac.uk/Library/Libraryintro.html","N/A","Sitio Web","Abierto","N/A","Cambridge University","2012--00--0","Inglés","CEAA","Relaciones Internacionales  , Historia","N/A","Sur de Asia ; India","Cambridge: Centre of South Asian Studies, 2010 (DE, 26 de febrero, 2013) Reúne información sobre los registros de su colección y ligas a recursos académicos sobre el tema del sur de Asia. Está dividido por diarios, revistas académicas, bases de datos, recursos electrónicos, organizaciones y bibliotecas.","N/A","2014-10-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Cervantes Project","no","N/A","http://www.csdl.tamu.edu/cervantes/english/index.html","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés  , Español","CELL","Literatura","N/A","N/A","El |Proyecto Cervantes| es una iniciativa en la que colaboran la Universidad de Castilla-La Mancha, el Centro para el Estudio de Bibliotecas Digitales y el Departamento de Estudios Hispánicos (Texas A&M).
Publica la Cervantes International Bibliography Online, el Anuario Bibliográfico Cervantino en Internet, las primeras bibliografías completas de estudios, ediciones y traducciones sobre las obras de Cervantes.  
Además pone accesibles varias ediciones electrónicas de la obra completa de Cervantes, con múltiples herramientas de búsqueda. 
Cuenta con un archivo digital de imágenes fotográficas sobre la época y las obras de Cervantes, para su uso en la enseñanza y la investigación.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Classical Quarterly","ambos","N/A","http://journals.cambridge.org/action/displayJournal?jid=CAQ&bVolume=y","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","","N/A","N/A","N/A","N/A","N/A","Disponible en formato impreso: 1935-1974","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Code of Hammurabi","no","N/A","http://www.fordham.edu/halsall/ancient/hamcode.html","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CEAA  , CEH","Filosofía  , Historia","N/A","Código de Hammurabi","Texto completo en formato html del  Código de Hammarabi, traducido por L. W. King. El texto es parte de Internet Ancient History Sourcebook, Fordham University.","N/A","2014-11-03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The conscience of a liberal","no","N/A","http://krugman.blogs.nytimes.com/","N/A","Sitio Web  , Blog","Abierto","N/A","Otros","2014-03-05","Inglés","CEE","Economía","N/A","Economía ; Periodismo","Blog publicado por la versión electrónica del New York Times especializado en temas de economía internacional y política. El blog hace referencia al comportamiento neoliberal de la política económica de  EUA. Elabora reseñas de libros, noticias, estadísticas generadas en Wall Strett y comentarios editoriales.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The DHS Program","no","N/A","http://dhsprogram.com/What-We-Do/index.cfm","N/A","Base de Datos  , Sitio Web","Parcialmente Abierto","N/A","Otros","201-00-00","Español  , Inglés","CEDUA","Demografía","N/A","N/A","Sitio web que reúne información geográfica sobre demografía y servicios de salud en el ámbito mundial. Además incluye información  metodológica, así como cuestionarios y manuales de encuestas. También permite la consulta de información por país, tipo de encuesta, año características, etc. También contiene publicaciones en formato PDF.","N/A","2015-07-01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The DocuTicker DocuBase","no","N/A","http://web.docuticker.com/go/docubase/","N/A","Base de Datos  , Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEE","Economía","N/A","Economía ; Indicadores financieros ; Perfiles empresariales ; América Latina ; Emprendedurismo","DocuTicker compila documentos de trabajo, literatura gris, información gubernamental, organizaciones no gubernamentales y otras instituciones. Genera reportes e informes ejecutivos sobre  una amplia diversidad de temas, entre los que se destacan, economía, finanzas, artes y humanidades así como otras áreas de conocimiento en ciencias exactas e ingenierías. Cuenta además de la organización temática, con una organización geográfica, destacando la información sobre América Latina y México.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The economist","ambos","N/A","http://go.galegroup.com/ps/i.do?id=GALE|3210&v=2.1&u=colmex1&it=aboutJournal&p=AONE&sw=w","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Economía política ; Revistas","Disponible en formato impreso: 1960-2013 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The encyclopedia of earth","no","N/A","http://www.eoearth.org/","N/A","Sitio Web","Parcialmente Abierto","N/A","Otros","2015-00-00","Inglés","CEDUA","Medio Ambiente","N/A","Tierra","Enciclopedia que contiene información e imágenes sobre biodiversidad, cambio climático,ecología, energía, geografía y contaminación, entre otros temas relacionados con el planeta tierra.","N/A","2015-08-18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The encyclopedia of strikes in American history","si","N/A","N/A","N/A","Obra de referencia","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CEE","Economía","N/A","Huelgas ; Estados Unidos ; Historia ; Obras de referencia","Aaron Brenner, Benjamin Day, Immanuel Ness, editors.  Armonk, N.Y.: M. E. Sharpe, c2009.  xxxix, 750 p. : il., fot. byn : 26 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The European Library","no","N/A","http://www.theeuropeanlibrary.org/tel4/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Historia ; Europa ; Historia económica","Portal que ofrece acceso a las colecciones de 48 Bibliotecas Nacionales de Europa y las principales bibliotecas europeas de investigación. Permite la consulta de registros y acceso a más de 24 millones de páginas de contenido de texto completo y más de 7 millones de objetos digitales. Integra diversos materiales entre los que se encuentran libros raros, manuscritos, imágenes y video.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Hispanic American Historical Review","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=hispamerhistrevi","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2014","N/A","N/A","N/A","N/A","Hispanoamérica ; América Latina ; Historia ; Revistas","|Hispanic American Historical Review (HAHR) pioneered the study of Latin American history and culture in the United States. Today it maintains a distinguished tradition of publishing vital work across thematic, chronological, regional, and methodological specializations, and it stands as the most widely respected journal in the field.| -- También disponible en formato impreso : 1919-2013","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The implementation of monetary policy: lessons from the crisis and challenges for coming years","no","N/A","http://www.seacen.org/gui/pdf/publications/cemla/2012/cemla.pdf","N/A","Libro electrónico","Abierto","N/A","Otros","2012-00-00","Inglés","CEE","Economía","N/A","Política monetaria ; Crisis","Proceedings of the First SEACEN-CEMLA Conference. Sasana Kijang, Kuala Lumpur, Malaysia October 13-15, 2011. Incluye los temas: Challenges and Issues in the Postcrisis Environment, Macroeconomics Effects of the Increases in Food and Commodity Prices, Managing Volatile Exchange Rate and Capital Flows, Postcrisis Appraisal of Monetary Policy Framework, The Role of Central Banks in Financial Stability:Macro- and Micro-prudential Policies, Efficacy of Monetary Policy Implementation Postcrisis:Scope for International and Regional Cooperation?","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The international development dictionary","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Falta Determinar","CEI","Relaciones Internacionales","N/A","Relaciones internacionales ; Enciclopedias y diccionarios","[by]... [and] Galen R. Martin.  Santa Barbara, Calif.ABC-CLIOc1991 xxxiii, 445 p. ; 24 cm.","N/A","2013-08-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The International Journal of Speech Language and the Law","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=114958","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Derecho ; Terminología ; Lingüística legal","Disponible en formato impreso: 2004-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Islamic State of Afghanistan","no","N/A","http://www.politicalresources.net/afghanistan.htm","N/A","Sitio Web","Abierto","N/A","Otros","2012-01-00","Inglés","CEAA","Relaciones Internacionales  , Ciencia Política","N/A","Afganistan ; Política y gobierno ; Historia","Contiene información sobre partidos políticos, elecciones, y leyes de Afganistán. No se ha actualizado recientemente. Además del tema político gubernamental, incluye vínculos a medios como |The Afghan News Network Service|.","N/A","2015-04-28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Japan Times Art","no","N/A","http://www.japantimes.co.jp/culture_category/arts/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEAA","Artes","N/A","Arte ; Japón : Pintura japonesa","Página de la sección de cultura de The Japan Times. Contiene una lista de arte y artistas de la pintura y fotografía japonesa de diversas épocas. La página incluye vínculos a eventos sobre arte, aperturas, música, festivales, libros, etc.","N/A","2015-11-24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Jenifer Altman Foundation","no","N/A","http://www.jaf.org","N/A","Sitio Web","Abierto","N/A","Otros","2014--00--0","Inglés","CEI","Ciencia Política  , Medio Ambiente","N/A","Justicia ; Salud ; Medio ambiente","|The Jenifer Altman Foundation has supported Commonweal’s work in healing, in learning, in caring for the earth, and in the pursuit of justice. But we have gone far beyond supporting Commonweal.  We co-created the Health and Environmental Funders Network.  We co-created the Gulf Coast Fund after Katrina.  And we have worked with a select handful of funding partners to support the global movement for environmental health and justice|","N/A","2014-11-11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Journal of American History","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=jamericanhistory","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Estados Unidos ; Historia ; Cultura ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
